game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
11,1996-05-25,ECF,3,CHI,ORL,W (+19),39,5,14,0.357,1,1,1,6,11,0.545,3,4,7,4,2,1,2,17,13.6,
12,1996-05-27,ECF,4,CHI,ORL,W (+5),44,16,23,0.696,3,4,0.75,10,14,0.714,2,1,3,5,1,1,4,45,34.6,
13,1996-06-05,FIN,1,CHI,SEA,W (+17),41,9,18,0.5,1,4,0.25,9,10,0.9,0,7,7,2,2,1,2,28,21.2,
14,1996-06-07,FIN,2,CHI,SEA,W (+4),43,9,22,0.409,1,2,0.5,10,16,0.625,2,4,6,8,2,0,2,29,21.8,
15,1996-06-09,FIN,3,CHI,SEA,W (+22),41,11,23,0.478,3,4,0.75,11,11,1,2,1,3,5,2,0,3,36,28.1,
16,1996-06-12,FIN,4,CHI,SEA,L (-21),41,6,19,0.316,0,2,0,11,13,0.846,1,2,3,2,1,0,4,23,9.8,
17,1996-06-14,FIN,5,CHI,SEA,L (-11),43,11,22,0.5,0,4,0,4,5,0.8,2,2,4,1,1,0,2,26,15.1,
18,1996-06-16,FIN,6,CHI,SEA,W (+12),43,5,19,0.263,1,3,0.333,11,12,0.917,3,6,9,7,2,0,5,22,14.9,
1,1997-04-25,EC1,1,CHI,WSB,W (+12),42,12,25,0.48,0,1,0,5,5,1,0,8,8,8,2,0,3,29,21.3,
2,1997-04-27,EC1,2,CHI,WSB,W (+5),44,22,35,0.629,1,2,0.5,10,10,1,3,4,7,2,2,0,2,55,42.8,
3,1997-04-30,EC1,3,CHI,WSB,W (+1),43,14,24,0.583,0,5,0,0,0,,1,1,2,6,0,1,2,28,19.9,
4,1997-05-06,ECS,1,CHI,ATL,W (+3),44,13,25,0.52,1,3,0.333,7,10,0.7,3,8,11,6,4,3,3,34,31.1,
5,1997-05-08,ECS,2,CHI,ATL,L (-8),45,12,29,0.414,0,6,0,3,3,1,6,10,16,6,0,1,1,27,21.8,
6,1997-05-10,ECS,3,CHI,ATL,W (+20),38,8,20,0.4,0,1,0,5,5,1,3,6,9,3,2,2,5,21,13.4,
7,1997-05-11,ECS,4,CHI,ATL,W (+9),43,12,22,0.545,0,2,0,3,5,0.6,2,6,8,4,2,1,5,27,18.9,
