game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
17,2013-12-01,28-336,MIA,CHA,W (+1),38,8,13,0.615,1,3,0.333,9,10,0.9,0,5,5,4,1,1,3,26,22.7,-4
18,2013-12-03,28-338,MIA,DET,L (-10),37,8,15,0.533,2,5,0.4,5,8,0.625,3,2,5,6,2,1,6,23,17.3,-6
19,2013-12-05,28-340,MIA,CHI,L (-20),33,7,17,0.412,1,4,0.25,6,8,0.75,0,5,5,2,3,0,1,21,15.2,-21
20,2013-12-07,28-342,MIA,MIN,W (+21),31,9,12,0.75,0,0,,3,5,0.6,4,10,14,8,2,0,7,21,20.6,9
21,2013-12-08,28-343,MIA,DET,W (+15),35,10,15,0.667,0,2,0,4,5,0.8,1,6,7,9,2,0,6,24,21.1,18
22,2013-12-10,28-345,MIA,IND,L (-6),39,6,16,0.375,1,4,0.25,4,6,0.667,1,13,14,6,2,0,5,17,12,-2
23,2013-12-14,28-349,MIA,CLE,W (+7),41,9,12,0.75,0,2,0,7,10,0.7,2,7,9,9,4,0,2,25,30,6
24,2013-12-16,28-351,MIA,UTA,W (+23),34,13,17,0.765,0,1,0,4,5,0.8,1,8,9,9,1,0,3,30,29.9,24
25,2013-12-18,28-353,MIA,IND,W (+3),36,8,14,0.571,1,3,0.333,7,7,1,0,9,9,7,3,0,3,24,23.8,16
26,2013-12-20,28-355,MIA,SAC,W (+19),31,8,11,0.727,1,2,0.5,1,2,0.5,2,4,6,8,1,1,1,18,21.6,14
27,2013-12-23,28-358,MIA,ATL,W (+2),46,16,28,0.571,4,9,0.444,2,6,0.333,4,4,8,6,2,0,0,38,32.6,-4
28,2013-12-25,28-360,MIA,LAL,W (+6),36,7,14,0.5,0,4,0,5,9,0.556,0,8,8,4,0,0,2,19,12.8,0
29,2013-12-27,28-362,MIA,SAC,L (-5),44,12,23,0.522,4,9,0.444,5,6,0.833,0,8,8,8,0,0,2,33,26.1,-10
30,2013-12-30,29-000,MIA,DEN,W (+3),40,8,15,0.533,5,9,0.556,5,8,0.625,1,5,6,10,0,1,4,26,23.4,4
31,2014-01-02,29-003,MIA,GSW,L (-9),40,10,16,0.625,1,4,0.25,5,8,0.625,0,5,5,5,0,1,8,26,15.3,-11
32,2014-01-04,29-005,MIA,ORL,W (+16),36,5,13,0.385,0,1,0,5,8,0.625,1,7,8,8,1,0,3,15,12.7,17
33,2014-01-05,29-006,MIA,TOR,W (+5),38,12,18,0.667,0,0,,6,7,0.857,1,3,4,5,1,0,1,30,26.5,1
34,2014-01-07,29-008,MIA,NOP,W (+19),35,13,22,0.591,3,6,0.5,3,3,1,1,2,3,5,2,0,3,32,25.2,19
35,2014-01-09,29-010,MIA,NYK,L (-10),41,12,17,0.706,1,4,0.25,7,11,0.636,0,5,5,6,1,1,6,32,23.9,1
36,2014-01-10,29-011,MIA,BRK,L (-9),49,12,21,0.571,2,5,0.4,10,12,0.833,3,4,7,5,0,0,4,36,25.7,-1
37,2014-01-15,29-016,MIA,WAS,L (-17),41,8,18,0.444,0,4,0,9,10,0.9,2,6,8,7,2,0,4,25,20.9,-15
38,2014-01-17,29-018,MIA,PHI,W (+15),37,7,13,0.538,0,1,0,7,8,0.875,1,7,8,10,2,1,3,21,22.6,17
39,2014-01-18,29-019,MIA,CHA,W (+8),45,13,25,0.52,0,3,0,8,10,0.8,2,6,8,6,1,0,2,34,25.7,15
40,2014-01-20,29-021,MIA,ATL,L (-7),39,11,21,0.524,3,7,0.429,5,8,0.625,1,3,4,6,1,0,3,30,21.9,0
41,2014-01-21,29-022,MIA,BOS,W (+7),39,10,19,0.526,0,4,0,9,11,0.818,1,7,8,4,2,0,3,29,23.1,10
42,2014-01-23,29-024,MIA,LAL,W (+7),37,9,15,0.6,2,4,0.5,7,13,0.538,2,11,13,6,1,0,5,27,22.2,4
43,2014-01-26,29-027,MIA,SAS,W (+12),28,8,15,0.533,1,3,0.333,1,1,1,0,7,7,6,1,0,4,18,12.4,22
44,2014-01-29,29-030,MIA,OKC,L (-17),42,12,20,0.6,1,5,0.2,9,9,1,1,2,3,3,0,0,3,34,24.8,-17
45,2014-02-01,29-033,MIA,NYK,W (+15),39,13,22,0.591,1,3,0.333,3,6,0.5,1,7,8,7,6,0,2,30,29.1,14
46,2014-02-03,29-035,MIA,DET,W (+6),38,9,19,0.474,0,3,0,6,8,0.75,1,7,8,11,2,2,1,24,26,6
47,2014-02-05,29-037,MIA,LAC,W (+4),41,11,20,0.55,3,7,0.429,6,8,0.75,1,7,8,12,3,1,7,31,27.7,3
48,2014-02-08,29-040,MIA,UTA,L (-5),39,4,13,0.308,1,6,0.167,4,6,0.667,0,7,7,5,0,0,5,13,4.5,0
49,2014-02-11,29-043,MIA,PHO,W (+6),41,12,22,0.545,2,5,0.4,11,14,0.786,1,8,9,3,5,0,4,37,30.6,8
50,2014-02-12,29-044,MIA,GSW,W (+1),42,14,26,0.538,4,8,0.5,4,7,0.571,1,12,13,9,2,0,2,36,32.4,-2
51,2014-02-18,29-050,MIA,DAL,W (+11),38,16,23,0.696,4,8,0.5,6,8,0.75,2,7,9,6,2,0,3,42,37.4,19
52,2014-02-20,29-052,MIA,OKC,W (+22),33,15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,33,22.6,9
53,2014-02-27,29-059,MIA,NYK,W (+26),37,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,4,0,0,1,31,25.1,21
