game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
51,2015-03-03,30-063,CLE,BOS,W (+31),26,12,23,0.522,0,1,0,3,3,1,1,2,3,5,3,1,1,27,23.2,35
52,2015-03-04,30-064,CLE,TOR,W (+8),37,9,16,0.563,3,6,0.5,8,13,0.615,1,5,6,14,0,0,3,29,27.6,6
53,2015-03-06,30-066,CLE,ATL,L (-9),40,5,13,0.385,1,4,0.25,7,8,0.875,1,5,6,8,2,1,9,18,10.8,-4
54,2015-03-07,30-067,CLE,PHO,W (+10),36,6,16,0.375,2,5,0.4,3,6,0.5,0,6,6,8,1,0,4,17,10.2,19
55,2015-03-10,30-070,CLE,DAL,W (+33),29,10,14,0.714,4,6,0.667,3,5,0.6,0,7,7,8,1,1,2,27,26.6,27
56,2015-03-12,30-072,CLE,SAS,W (+3),44,10,20,0.5,3,6,0.5,8,10,0.8,0,5,5,7,2,1,3,31,25.5,3
57,2015-03-15,30-075,CLE,ORL,W (+15),35,9,14,0.643,0,3,0,3,4,0.75,1,7,8,13,3,1,1,21,27.8,25
58,2015-03-16,30-076,CLE,MIA,L (-14),35,8,19,0.421,4,8,0.5,6,8,0.75,1,1,2,4,0,0,4,26,14.1,-17
59,2015-03-18,30-078,CLE,BRK,W (+25),35,5,13,0.385,2,4,0.5,4,6,0.667,1,2,3,7,1,0,2,16,12.9,13
60,2015-03-20,30-080,CLE,IND,W (+3),39,13,26,0.5,2,6,0.333,1,2,0.5,0,7,7,5,0,0,3,29,18.2,-7
61,2015-03-22,30-082,CLE,MIL,W (+18),39,10,17,0.588,1,4,0.25,7,7,1,2,8,10,6,5,1,5,28,28.4,4
62,2015-03-25,30-085,CLE,MEM,W (+22),31,7,15,0.467,3,5,0.6,3,4,0.75,0,8,8,5,0,0,1,20,16,31
63,2015-03-27,30-087,CLE,BRK,L (-8),38,8,15,0.533,2,5,0.4,6,8,0.75,0,5,5,9,5,1,3,24,24.8,-1
64,2015-03-29,30-089,CLE,PHI,W (+1),38,8,24,0.333,1,4,0.25,3,6,0.5,2,9,11,6,0,1,5,20,9.2,-4
65,2015-04-02,30-093,CLE,MIA,W (+26),35,9,16,0.563,1,2,0.5,4,5,0.8,1,7,8,7,1,3,3,23,21.6,14
66,2015-04-05,30-096,CLE,CHI,W (+5),37,8,17,0.471,1,3,0.333,3,6,0.5,2,8,10,12,3,1,3,20,21.4,10
67,2015-04-08,30-099,CLE,MIL,W (+5),40,8,15,0.533,2,5,0.4,3,4,0.75,2,7,9,8,1,1,2,21,21.3,0
68,2015-04-10,30-101,CLE,BOS,L (-9),26,5,14,0.357,0,5,0,4,9,0.444,0,3,3,7,1,0,3,14,7.6,1
69,2015-04-13,30-104,CLE,DET,W (+12),32,7,17,0.412,3,4,0.75,4,6,0.667,3,7,10,11,2,1,1,21,24.7,19
1,2015-10-27,30-301,CLE,CHI,L (-2),36,12,22,0.545,1,5,0.2,0,3,0,0,10,10,5,1,0,1,25,18.5,1
2,2015-10-28,30-302,CLE,MEM,W (+30),31,4,13,0.308,0,3,0,4,8,0.5,1,6,7,5,3,0,3,12,8.5,10
3,2015-10-30,30-304,CLE,MIA,W (+10),34,13,19,0.684,0,2,0,3,5,0.6,2,3,5,4,1,0,4,29,21,7
4,2015-11-02,30-307,CLE,PHI,W (+7),33,9,19,0.474,0,3,0,4,4,1,0,9,9,11,4,2,3,22,23.9,21
5,2015-11-04,30-309,CLE,NYK,W (+10),35,9,23,0.391,1,5,0.2,4,7,0.571,2,3,5,3,4,1,3,23,15,14
6,2015-11-06,30-311,CLE,PHI,W (+6),36,12,22,0.545,3,5,0.6,4,6,0.667,0,4,4,13,2,0,2,31,29.5,24
7,2015-11-08,30-313,CLE,IND,W (+4),35,10,23,0.435,0,3,0,9,14,0.643,0,6,6,4,0,0,2,29,17.5,1
8,2015-11-10,30-315,CLE,UTA,W (+4),38,11,19,0.579,1,3,0.333,8,12,0.667,3,4,7,8,2,0,5,31,25.6,4
9,2015-11-13,30-318,CLE,NYK,W (+6),39,12,21,0.571,0,2,0,7,10,0.7,0,3,3,6,2,1,3,31,23.1,17
10,2015-11-14,30-319,CLE,MIL,L (-3),45,13,27,0.481,5,11,0.455,6,12,0.5,4,8,12,5,1,3,7,37,24.5,-2
11,2015-11-17,30-322,CLE,DET,L (-5),40,11,21,0.524,4,7,0.571,4,5,0.8,0,6,6,3,0,0,4,30,18,-6
12,2015-11-19,30-324,CLE,MIL,W (+15),35,9,13,0.692,1,1,1,8,9,0.889,3,6,9,6,0,0,4,27,24,13
13,2015-11-21,30-326,CLE,ATL,W (+12),33,8,15,0.533,1,2,0.5,2,2,1,2,9,11,8,0,2,3,19,19.4,17
14,2015-11-23,30-328,CLE,ORL,W (+14),35,7,14,0.5,0,2,0,1,5,0.2,0,6,6,13,1,0,2,15,16.3,29
15,2015-11-25,30-330,CLE,TOR,L (-4),40,6,16,0.375,1,5,0.2,11,12,0.917,2,4,6,8,0,0,2,24,20.6,13
16,2015-11-27,30-332,CLE,CHO,W (+5),38,8,20,0.4,2,5,0.4,7,9,0.778,2,11,13,5,0,0,3,25,17.8,1
17,2015-11-28,30-333,CLE,BRK,W (+2),36,10,22,0.455,1,6,0.167,5,6,0.833,2,7,9,5,1,0,2,26,20.2,-1
18,2015-12-01,30-336,CLE,WAS,L (-12),37,8,20,0.4,0,3,0,8,8,1,4,9,13,4,1,1,9,24,13,-12
19,2015-12-04,30-339,CLE,NOP,L (-6),45,13,29,0.448,1,5,0.2,10,11,0.909,2,5,7,8,1,1,5,37,25.1,-4
20,2015-12-08,30-343,CLE,POR,W (+5),40,14,24,0.583,1,3,0.333,4,4,1,1,9,10,3,2,3,2,33,28.2,7
21,2015-12-11,30-346,CLE,ORL,W (+35),29,10,15,0.667,0,1,0,5,8,0.625,0,3,3,8,4,0,4,25,23.8,36
22,2015-12-15,30-350,CLE,BOS,W (+12),36,10,20,0.5,0,3,0,4,4,1,1,6,7,3,2,1,6,24,14.1,17
23,2015-12-17,30-352,CLE,OKC,W (+4),40,12,27,0.444,2,5,0.4,7,8,0.875,2,7,9,11,2,0,7,33,23.9,5
24,2015-12-20,30-355,CLE,PHI,W (+22),25,10,17,0.588,0,3,0,3,4,0.75,0,5,5,4,3,1,2,23,20.7,33
25,2015-12-23,30-358,CLE,NYK,W (+7),38,9,22,0.409,0,3,0,6,7,0.857,1,8,9,5,0,0,1,24,16.6,7
26,2015-12-25,30-360,CLE,GSW,L (-6),39,10,26,0.385,1,5,0.2,4,9,0.444,2,7,9,2,1,2,4,25,12.1,-9
27,2015-12-26,30-361,CLE,POR,L (-29),26,4,13,0.308,0,3,0,4,5,0.8,0,4,4,5,0,0,3,12,5,-29
28,2015-12-28,30-363,CLE,PHO,W (+4),35,4,10,0.4,1,5,0.2,5,9,0.556,0,4,4,7,2,1,2,14,12.6,3
29,2015-12-29,30-364,CLE,DEN,W (+6),34,13,24,0.542,1,3,0.333,7,8,0.875,3,3,6,2,2,1,5,34,23.3,3
30,2016-01-02,31-003,CLE,ORL,W (+25),29,11,18,0.611,4,7,0.571,3,4,0.75,0,5,5,3,2,0,0,29,25.2,28
31,2016-01-04,31-005,CLE,TOR,W (+22),31,7,11,0.636,1,2,0.5,5,8,0.625,0,2,2,7,3,0,2,20,20,11
32,2016-01-06,31-007,CLE,WAS,W (+6),40,12,22,0.545,4,9,0.444,6,8,0.75,0,10,10,4,1,1,2,34,26.9,2
33,2016-01-08,31-009,CLE,MIN,W (+26),32,5,12,0.417,0,4,0,3,4,0.75,0,12,12,8,1,2,3,13,14.4,21
34,2016-01-10,31-011,CLE,PHI,W (+10),37,15,22,0.682,3,5,0.6,4,6,0.667,0,7,7,9,2,0,2,37,34.8,11
35,2016-01-12,31-013,CLE,DAL,W (+3),42,9,17,0.529,3,6,0.5,6,8,0.75,3,7,10,7,2,0,4,27,24.2,2
36,2016-01-14,31-015,CLE,SAS,L (-4),37,9,17,0.529,1,3,0.333,3,4,0.75,2,5,7,5,0,0,4,22,14.1,9
37,2016-01-15,31-016,CLE,HOU,W (+14),36,7,14,0.5,1,2,0.5,4,6,0.667,2,5,7,7,0,2,4,19,16,10
38,2016-01-18,31-019,CLE,GSW,L (-34),33,7,16,0.438,0,3,0,2,2,1,1,4,5,5,1,1,3,16,11.3,-34
39,2016-01-20,31-021,CLE,BRK,W (+13),29,7,12,0.583,1,1,1,2,4,0.5,0,1,1,5,1,1,4,17,11.7,15
40,2016-01-21,31-022,CLE,LAC,W (+13),35,9,17,0.529,1,4,0.25,3,5,0.6,1,4,5,12,0,0,0,22,21.6,21
41,2016-01-23,31-024,CLE,CHI,L (-13),40,11,27,0.407,0,5,0,4,7,0.571,3,10,13,9,2,1,1,26,22.2,-2
42,2016-01-25,31-026,CLE,MIN,W (+7),38,11,15,0.733,1,1,1,2,3,0.667,0,4,4,9,1,1,5,25,21.9,1
43,2016-01-27,31-028,CLE,PHO,W (+22),31,7,8,0.875,0,1,0,7,7,1,0,3,3,9,0,0,2,21,22.6,16
44,2016-01-29,31-030,CLE,DET,W (+8),36,7,16,0.438,0,2,0,6,7,0.857,1,8,9,8,1,0,1,20,18.7,19
45,2016-01-30,31-031,CLE,SAS,W (+14),34,10,17,0.588,0,2,0,9,11,0.818,1,4,5,7,2,2,2,29,27.7,14
46,2016-02-01,31-033,CLE,IND,W (+5),44,9,22,0.409,0,5,0,6,10,0.6,2,10,12,6,2,1,1,24,20.1,-1
47,2016-02-03,31-035,CLE,CHO,L (-9),39,10,21,0.476,0,3,0,3,5,0.6,0,6,6,6,1,2,1,23,18.5,-9
48,2016-02-05,31-037,CLE,BOS,L (-1),38,9,23,0.391,0,5,0,12,17,0.706,3,4,7,4,2,1,6,30,17.5,-7
49,2016-02-06,31-038,CLE,NOP,W (+15),37,11,20,0.55,2,5,0.4,3,3,1,0,3,3,8,1,0,2,27,22.1,8
50,2016-02-08,31-040,CLE,SAC,W (+20),31,8,16,0.5,1,2,0.5,4,5,0.8,1,9,10,10,2,1,4,21,21.3,16
51,2016-02-10,31-042,CLE,LAL,W (+9),37,12,22,0.545,3,6,0.5,2,5,0.4,1,6,7,11,1,0,1,29,27,16
52,2016-02-18,31-050,CLE,CHI,W (+11),35,11,19,0.579,0,2,0,3,3,1,2,7,9,9,0,1,2,25,23.4,13
53,2016-02-21,31-053,CLE,OKC,W (+23),38,11,22,0.5,2,5,0.4,1,1,1,3,4,7,11,3,0,5,25,21.8,22
54,2016-02-22,31-054,CLE,DET,L (-8),38,5,18,0.278,0,4,0,2,2,1,1,7,8,5,3,0,6,12,3.9,-4
55,2016-02-24,31-056,CLE,CHO,W (+11),30,8,13,0.615,2,4,0.5,5,8,0.625,1,6,7,7,2,0,2,23,22.9,4
56,2016-02-26,31-058,CLE,TOR,L (-2),40,9,18,0.5,2,4,0.5,5,9,0.556,1,7,8,7,1,0,6,25,16.3,10
57,2016-02-29,31-061,CLE,IND,W (+4),37,14,22,0.636,2,4,0.5,3,5,0.6,0,5,5,4,2,0,5,33,22.9,12
58,2016-03-04,31-065,CLE,WAS,W (+25),30,7,18,0.389,1,4,0.25,4,4,1,1,12,13,8,3,0,1,19,20.7,15
59,2016-03-05,31-066,CLE,BOS,W (+17),36,11,20,0.55,1,4,0.25,5,9,0.556,4,7,11,8,2,1,4,28,25.2,4
60,2016-03-07,31-068,CLE,MEM,L (-3),38,11,19,0.579,2,4,0.5,4,5,0.8,2,7,9,5,1,0,4,28,21.9,-9
61,2016-03-09,31-070,CLE,SAC,W (+9),37,8,19,0.421,1,5,0.2,8,9,0.889,4,7,11,6,0,0,5,25,18.2,16
62,2016-03-10,31-071,CLE,LAL,W (+12),35,9,18,0.5,1,4,0.25,5,8,0.625,2,3,5,7,0,2,3,24,18.6,6
63,2016-03-13,31-074,CLE,LAC,W (+24),31,9,15,0.6,3,4,0.75,6,7,0.857,1,5,6,5,1,0,2,27,23.6,16
64,2016-03-14,31-075,CLE,UTA,L (-9),37,10,20,0.5,2,6,0.333,1,2,0.5,6,6,12,3,1,0,3,23,18.7,6
65,2016-03-18,31-079,CLE,ORL,W (+6),36,6,15,0.4,0,3,0,6,6,1,1,6,7,8,1,1,4,18,14.5,-5
66,2016-03-19,31-080,CLE,MIA,L (-21),27,13,20,0.65,0,3,0,0,0,,0,3,3,3,1,0,3,26,17.8,-23
67,2016-03-21,31-082,CLE,DEN,W (+33),33,12,19,0.632,1,2,0.5,8,11,0.727,3,8,11,11,0,0,3,33,31.7,38
68,2016-03-23,31-084,CLE,MIL,W (+9),37,9,22,0.409,1,4,0.25,7,10,0.7,5,1,6,8,2,1,2,26,23.1,12
69,2016-03-24,31-085,CLE,BRK,L (-9),35,13,16,0.813,1,2,0.5,3,4,0.75,1,5,6,5,1,0,4,30,25.5,-8
70,2016-03-26,31-087,CLE,NYK,W (+14),36,10,21,0.476,2,3,0.667,5,6,0.833,3,8,11,11,1,2,2,27,26.9,20
71,2016-03-31,31-092,CLE,BRK,W (+20),31,8,11,0.727,0,0,,8,10,0.8,0,4,4,11,2,1,6,24,24.3,28
72,2016-04-01,31-093,CLE,ATL,W (+2),44,12,26,0.462,1,5,0.2,4,5,0.8,3,13,16,9,3,1,3,29,26.6,6
73,2016-04-03,31-095,CLE,CHO,W (+9),41,14,22,0.636,0,0,,3,3,1,3,5,8,12,2,0,5,31,28.6,10
74,2016-04-05,31-097,CLE,MIL,W (+29),28,7,9,0.778,1,2,0.5,2,2,1,0,5,5,9,0,1,4,17,18,22
75,2016-04-09,31-101,CLE,CHI,L (-3),39,13,17,0.765,4,5,0.8,3,4,0.75,3,4,7,3,0,1,4,33,27.6,7
76,2016-04-11,31-103,CLE,ATL,W (+15),32,13,16,0.813,3,4,0.75,5,5,1,1,5,6,6,2,1,4,34,32.3,13
1,2016-10-25,31-300,CLE,NYK,W (+29),32,9,14,0.643,0,3,0,1,2,0.5,3,8,11,14,0,1,4,19,22.2,27
2,2016-10-28,31-303,CLE,TOR,W (+3),39,7,16,0.438,2,6,0.333,5,7,0.714,2,6,8,7,0,0,5,21,14.1,0
3,2016-10-29,31-304,CLE,ORL,W (+6),39,7,16,0.438,2,6,0.333,7,11,0.636,1,5,6,9,1,1,2,23,20.4,1
4,2016-11-01,31-307,CLE,HOU,W (+8),36,6,12,0.5,1,3,0.333,6,10,0.6,3,10,13,8,0,0,4,19,16.5,15
5,2016-11-03,31-309,CLE,BOS,W (+6),36,12,22,0.545,1,4,0.25,5,5,1,1,6,7,12,1,0,2,30,28.5,18
6,2016-11-05,31-311,CLE,PHI,W (+1),36,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,25,22,11
7,2016-11-08,31-314,CLE,ATL,L (-4),37,8,17,0.471,2,5,0.4,5,5,1,2,7,9,5,3,0,1,23,22.1,7
8,2016-11-11,31-317,CLE,WAS,W (+11),38,9,18,0.5,3,4,0.75,6,9,0.667,0,10,10,5,2,2,6,27,20.3,7
9,2016-11-13,31-319,CLE,CHO,W (+7),39,8,21,0.381,2,5,0.4,1,2,0.5,0,8,8,8,1,1,3,19,13.8,12
10,2016-11-15,31-321,CLE,TOR,W (+4),38,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,28,28.3,1
11,2016-11-18,31-324,CLE,DET,W (+23),28,9,14,0.643,1,3,0.333,2,3,0.667,0,3,3,3,0,1,2,21,15.7,21
12,2016-11-23,31-329,CLE,POR,W (+12),38,11,21,0.524,2,3,0.667,7,8,0.875,1,9,10,13,3,0,3,31,32.8,17
13,2016-11-25,31-331,CLE,DAL,W (+38),29,6,13,0.462,2,5,0.4,5,5,1,0,5,5,11,1,0,4,19,18.1,33
14,2016-11-27,31-333,CLE,PHI,W (+4),42,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,26,24.4,2
15,2016-11-29,31-335,CLE,MIL,L (-17),33,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,22,8.2,-12
16,2016-12-01,31-337,CLE,LAC,L (-19),34,5,14,0.357,0,2,0,6,11,0.545,1,4,5,5,2,0,5,16,7.8,-20
17,2016-12-02,31-338,CLE,CHI,L (-6),45,13,22,0.591,1,3,0.333,0,0,,0,5,5,13,0,0,8,27,18.6,-3
18,2016-12-05,31-341,CLE,TOR,W (+4),42,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,34,28.9,9
19,2016-12-07,31-343,CLE,NYK,W (+32),32,7,10,0.7,1,2,0.5,10,14,0.714,2,4,6,7,1,2,4,25,24.3,32
20,2016-12-09,31-345,CLE,MIA,W (+30),37,12,22,0.545,1,3,0.333,2,4,0.5,2,6,8,8,3,0,3,27,23.6,21
21,2016-12-10,31-346,CLE,CHO,W (+11),42,17,24,0.708,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,44,40,-2
22,2016-12-13,31-349,CLE,MEM,W (+17),36,9,17,0.529,0,4,0,5,8,0.625,1,5,6,8,3,0,6,23,17.9,8
23,2016-12-17,31-353,CLE,LAL,W (+11),39,9,18,0.5,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,26,24.8,17
24,2016-12-20,31-356,CLE,MIL,W (+6),47,12,25,0.48,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,34,29.5,8
25,2016-12-21,31-357,CLE,MIL,W (+11),34,12,24,0.5,4,7,0.571,1,1,1,1,8,9,6,0,0,2,29,22.3,26
26,2016-12-23,31-359,CLE,BRK,W (+20),27,7,16,0.438,0,3,0,5,6,0.833,1,3,4,6,3,0,1,19,18,33
27,2016-12-25,31-361,CLE,GSW,W (+1),40,12,22,0.545,4,8,0.5,3,7,0.429,5,8,13,4,2,1,5,31,24.4,4
28,2016-12-29,31-365,CLE,BOS,W (+6),44,9,18,0.5,2,6,0.333,3,7,0.429,2,6,8,11,1,3,8,23,17.6,1
29,2016-12-31,32-001,CLE,CHO,W (+12),36,12,25,0.48,4,8,0.5,4,6,0.667,2,4,6,9,1,0,1,32,27,17
30,2017-01-02,32-003,CLE,NOP,W (+8),39,9,21,0.429,0,4,0,8,10,0.8,2,5,7,6,2,1,4,26,19.5,-4
31,2017-01-04,32-005,CLE,CHI,L (-12),37,12,21,0.571,1,2,0.5,6,9,0.667,2,6,8,7,1,0,5,31,23.2,-13
32,2017-01-06,32-007,CLE,BRK,W (+8),35,14,20,0.7,0,1,0,8,10,0.8,0,9,9,6,3,0,5,36,30.9,20
33,2017-01-08,32-009,CLE,PHO,W (+4),40,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,28,18.9,-2
34,2017-01-10,32-011,CLE,UTA,L (-8),37,10,20,0.5,3,6,0.5,6,7,0.857,1,5,6,5,4,0,4,29,24.3,-8
35,2017-01-11,32-012,CLE,POR,L (-16),31,5,12,0.417,2,5,0.4,8,9,0.889,1,10,11,4,1,1,5,20,16,-7
36,2017-01-13,32-014,CLE,SAC,W (+12),42,6,12,0.5,1,4,0.25,3,3,1,0,2,2,15,1,1,5,16,17,16
37,2017-01-16,32-017,CLE,GSW,L (-35),35,6,18,0.333,1,4,0.25,7,10,0.7,2,6,8,2,1,0,6,20,7.8,-32
38,2017-01-19,32-020,CLE,PHO,W (+15),39,8,12,0.667,0,2,0,5,8,0.625,0,9,9,15,1,2,4,21,25.4,14
39,2017-01-21,32-022,CLE,SAS,L (-3),45,11,16,0.688,2,5,0.4,5,7,0.714,0,6,6,7,2,0,7,29,21.1,-16
40,2017-01-23,32-024,CLE,NOP,L (-2),44,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,26,22.7,-10
41,2017-01-25,32-026,CLE,SAC,L (-4),45,8,15,0.533,0,3,0,8,11,0.727,4,9,13,11,2,1,5,24,25.2,-1
42,2017-01-27,32-028,CLE,BRK,W (+8),34,13,18,0.722,1,3,0.333,4,7,0.571,0,5,5,11,0,0,5,31,26.2,22
43,2017-01-29,32-030,CLE,OKC,W (+16),37,9,18,0.5,0,2,0,7,10,0.7,1,13,14,8,1,0,2,25,23.6,11
44,2017-01-30,32-031,CLE,DAL,L (-7),37,9,19,0.474,1,6,0.167,4,8,0.5,0,9,9,9,2,0,5,23,17.7,-8
45,2017-02-01,32-033,CLE,MIN,W (+28),34,11,14,0.786,1,2,0.5,4,7,0.571,0,8,8,12,2,1,2,27,31.5,16
46,2017-02-04,32-036,CLE,NYK,W (+7),40,12,20,0.6,4,8,0.5,4,5,0.8,0,5,5,10,0,0,5,32,25.5,11
47,2017-02-06,32-038,CLE,WAS,W (+5),42,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,32,32,0
48,2017-02-08,32-040,CLE,IND,W (+15),38,9,16,0.563,1,2,0.5,6,8,0.75,1,5,6,9,1,1,4,25,22,8
49,2017-02-09,32-041,CLE,OKC,L (-9),41,8,19,0.421,1,4,0.25,1,3,0.333,1,4,5,7,2,2,3,18,13.9,-4
50,2017-02-11,32-043,CLE,DEN,W (+16),33,11,16,0.688,1,1,1,4,4,1,0,5,5,12,2,0,6,27,25.7,26
51,2017-02-14,32-046,CLE,MIN,W (+8),40,10,14,0.714,2,3,0.667,3,6,0.5,1,7,8,14,0,0,6,25,23.4,10
52,2017-02-15,32-047,CLE,IND,W (+9),33,12,17,0.706,4,5,0.8,3,4,0.75,0,5,5,4,1,0,4,31,24,9
53,2017-02-23,32-055,CLE,NYK,W (+15),37,7,11,0.636,0,2,0,4,6,0.667,0,13,13,15,0,3,6,18,22.4,10
54,2017-02-27,32-059,CLE,MIL,W (+7),37,8,12,0.667,1,2,0.5,7,9,0.778,0,10,10,6,0,0,3,24,21.8,8
55,2017-03-01,32-061,CLE,BOS,L (-4),40,10,21,0.476,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,28,25.5,-3
56,2017-03-03,32-063,CLE,ATL,W (+5),39,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,38,29.4,5
57,2017-03-06,32-066,CLE,MIA,L (-8),39,11,22,0.5,2,5,0.4,6,10,0.6,3,14,17,6,1,1,3,30,25.8,14
58,2017-03-09,32-069,CLE,DET,L (-5),39,12,22,0.545,0,6,0,5,8,0.625,4,10,14,10,1,0,3,29,27.6,18
59,2017-03-11,32-071,CLE,ORL,W (+12),38,8,14,0.571,2,5,0.4,6,10,0.6,0,12,12,12,0,1,4,24,23.3,12
60,2017-03-12,32-072,CLE,HOU,L (-5),40,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,30,19.2,-9
61,2017-03-14,32-074,CLE,DET,W (+32),28,6,12,0.5,0,2,0,4,5,0.8,0,11,11,12,0,0,2,16,19.3,22
62,2017-03-16,32-076,CLE,UTA,W (+8),38,13,20,0.65,2,5,0.4,5,10,0.5,0,10,10,6,2,1,6,33,26.1,14
63,2017-03-19,32-079,CLE,LAL,W (+5),38,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,34,26.5,12
64,2017-03-22,32-082,CLE,DEN,L (-13),34,8,12,0.667,0,2,0,2,4,0.5,2,4,6,5,0,0,4,18,13.7,-30
65,2017-03-24,32-084,CLE,CHO,W (+7),40,9,14,0.643,0,1,0,14,16,0.875,0,9,9,11,1,2,4,32,33,1
66,2017-03-25,32-085,CLE,WAS,L (-12),41,10,21,0.476,0,4,0,4,6,0.667,3,8,11,8,0,1,3,24,19.5,-11
67,2017-03-27,32-087,CLE,SAS,L (-29),30,7,17,0.412,0,3,0,3,6,0.5,3,5,8,8,0,0,2,17,12.7,-13
68,2017-03-30,32-090,CLE,CHI,L (-6),39,11,20,0.55,1,7,0.143,3,7,0.429,1,9,10,8,1,1,4,26,21.5,-3
69,2017-03-31,32-091,CLE,PHI,W (+17),30,14,22,0.636,3,7,0.429,3,6,0.5,2,7,9,6,0,0,2,34,27.9,31
70,2017-04-02,32-093,CLE,IND,W (+5),52,16,29,0.552,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,41,38.3,-1
71,2017-04-04,32-095,CLE,ORL,W (+20),37,7,14,0.5,0,3,0,4,6,0.667,1,10,11,11,2,1,6,18,17.5,17
72,2017-04-05,32-096,CLE,BOS,W (+23),39,14,22,0.636,1,4,0.25,7,7,1,2,8,10,6,1,2,3,36,32.4,32
73,2017-04-07,32-098,CLE,ATL,L (-14),41,12,15,0.8,1,2,0.5,2,6,0.333,1,7,8,7,2,0,5,27,24.4,-15
74,2017-04-09,32-100,CLE,ATL,L (-1),47,11,21,0.524,1,3,0.333,9,10,0.9,3,13,16,10,1,0,3,32,29.9,1
1,2017-10-17,32-291,CLE,BOS,W (+3),41,12,19,0.632,1,5,0.2,4,4,1,1,15,16,9,0,2,4,29,28.2,2
2,2017-10-20,32-294,CLE,MIL,W (+19),37,10,16,0.625,2,4,0.5,2,2,1,1,4,5,8,1,1,5,24,20.6,13
3,2017-10-21,32-295,CLE,ORL,L (-21),31,8,15,0.533,1,3,0.333,5,6,0.833,0,4,4,2,1,1,1,22,17.6,-31
4,2017-10-24,32-298,CLE,CHI,W (+7),37,13,20,0.65,4,6,0.667,4,5,0.8,0,2,2,13,3,0,2,34,35.1,7
5,2017-10-25,32-299,CLE,BRK,L (-5),41,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,29,25.1,-2
6,2017-10-28,32-302,CLE,NOP,L (-22),31,6,11,0.545,1,3,0.333,5,6,0.833,0,3,3,8,0,0,4,18,13.6,-10
7,2017-10-29,32-303,CLE,NYK,L (-19),39,7,15,0.467,1,4,0.25,1,1,1,1,9,10,7,2,0,4,16,13.8,-17
8,2017-11-01,32-306,CLE,IND,L (-17),37,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,33,27,-12
9,2017-11-03,32-308,CLE,WAS,W (+8),43,23,34,0.676,2,4,0.5,9,9,1,5,6,11,7,3,2,3,57,53.2,6
10,2017-11-05,32-310,CLE,ATL,L (-2),41,10,17,0.588,0,3,0,6,6,1,2,3,5,13,1,2,6,26,24.3,-4
11,2017-11-07,32-312,CLE,MIL,W (+5),37,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,30,29.9,6
12,2017-11-09,32-314,CLE,HOU,L (-4),40,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,33,20,5
13,2017-11-11,32-316,CLE,DAL,W (+7),42,6,14,0.429,1,3,0.333,6,8,0.75,1,10,11,4,0,1,6,19,10.8,5
14,2017-11-13,32-318,CLE,NYK,W (+3),36,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,23,23.8,2
15,2017-11-15,32-320,CLE,CHO,W (+8),37,12,24,0.5,4,7,0.571,3,3,1,2,4,6,8,2,1,3,31,25.3,1
16,2017-11-17,32-322,CLE,LAC,W (+5),46,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,39,28.8,1
17,2017-11-20,32-325,CLE,DET,W (+28),27,7,14,0.5,3,5,0.6,1,1,1,0,2,2,8,1,1,0,18,18.1,21
18,2017-11-22,32-327,CLE,BRK,W (+10),33,11,17,0.647,4,7,0.571,7,9,0.778,1,5,6,5,2,0,3,33,28.6,20
19,2017-11-24,32-329,CLE,CHO,W (+1),40,10,20,0.5,3,8,0.375,4,7,0.571,1,15,16,13,0,3,3,27,28.4,-2
20,2017-11-27,32-332,CLE,PHI,W (+22),31,12,23,0.522,3,7,0.429,3,4,0.75,3,11,14,6,0,0,3,30,24.9,1
21,2017-11-28,32-333,CLE,MIA,W (+11),28,10,16,0.625,1,3,0.333,0,1,0,2,10,12,6,5,1,2,21,25.3,26
