game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
2,2020-08-20,WC1,2,LAL,POR,W (+23),27,4,11,0.364,0,3,0,2,2,1,0,6,6,7,2,0,6,10,6.2,23
3,2020-08-22,WC1,3,LAL,POR,W (+8),34,11,18,0.611,4,8,0.5,12,17,0.706,1,11,12,8,2,0,8,38,30.2,2
4,2020-08-24,WC1,4,LAL,POR,W (+20),28,10,12,0.833,4,5,0.8,6,8,0.75,1,5,6,10,0,1,2,30,31.9,17
5,2020-08-29,WC1,5,LAL,POR,W (+9),34,14,19,0.737,4,7,0.571,4,4,1,0,10,10,10,1,1,5,36,34.6,20
6,2020-09-04,WCS,1,LAL,HOU,L (-15),37,7,15,0.467,2,7,0.286,4,5,0.8,1,7,8,7,0,2,4,20,16.2,-15
7,2020-09-06,WCS,2,LAL,HOU,W (+8),39,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,9,4,2,7,28,25.7,15
8,2020-09-08,WCS,3,LAL,HOU,W (+10),38,13,23,0.565,4,9,0.444,6,10,0.6,0,7,7,5,1,4,2,36,30.5,8
9,2020-09-10,WCS,4,LAL,HOU,W (+10),34,7,17,0.412,0,5,0,2,3,0.667,1,14,15,9,3,0,4,16,15.9,15
10,2020-09-12,WCS,5,LAL,HOU,W (+23),31,9,18,0.5,3,8,0.375,8,10,0.8,2,9,11,7,2,1,4,29,26.1,19
11,2020-09-18,WCF,1,LAL,DEN,W (+12),31,6,11,0.545,0,2,0,3,4,0.75,1,5,6,12,0,0,3,15,16.1,15
12,2020-09-20,WCF,2,LAL,DEN,W (+2),36,10,20,0.5,3,8,0.375,3,4,0.75,2,9,11,4,0,2,6,26,17.1,-9
13,2020-09-22,WCF,3,LAL,DEN,L (-8),37,14,23,0.609,1,4,0.25,1,2,0.5,1,9,10,11,2,2,6,30,27.2,2
14,2020-09-24,WCF,4,LAL,DEN,W (+6),38,7,18,0.389,1,3,0.333,11,14,0.786,1,8,9,8,0,0,0,26,22.9,8
15,2020-09-26,WCF,5,LAL,DEN,W (+10),40,15,25,0.6,1,4,0.25,7,8,0.875,3,13,16,10,1,0,2,38,37.3,12
16,2020-09-30,FIN,1,LAL,MIA,W (+18),36,9,17,0.529,2,4,0.5,5,6,0.833,1,12,13,9,1,0,2,25,24.7,10
17,2020-10-02,FIN,2,LAL,MIA,W (+10),39,14,25,0.56,3,8,0.375,2,5,0.4,2,7,9,9,1,1,0,33,30.6,7
18,2020-10-04,FIN,3,LAL,MIA,L (-11),39,9,16,0.563,1,5,0.2,6,9,0.667,1,9,10,8,0,2,8,25,17.8,-4
19,2020-10-06,FIN,4,LAL,MIA,W (+6),39,8,16,0.5,2,5,0.4,10,12,0.833,2,10,12,8,1,0,6,28,23.4,-2
20,2020-10-09,FIN,5,LAL,MIA,L (-3),42,15,21,0.714,6,9,0.667,4,6,0.667,3,10,13,7,3,0,4,40,39.1,7
21,2020-10-11,FIN,6,LAL,MIA,W (+13),41,13,20,0.65,1,5,0.2,1,4,0.25,3,11,14,10,1,0,1,28,29.2,18
